Date,State,MedianIncome,Year
1997-01-01,New South Wales,27539.2,1997
1998-01-01,New South Wales,28600.0,1998
1999-01-01,New South Wales,31200.0,1999
2000-01-01,New South Wales,31200.0,2000
2001-01-01,New South Wales,32136.0,2001
2002-01-01,New South Wales,33800.0,2002
2003-01-01,New South Wales,34840.0,2003
2004-01-01,New South Wales,35964.24,2004
2005-01-01,New South Wales,36400.0,2005
2006-01-01,New South Wales,39000.0,2006
2007-01-01,New South Wales,40560.0,2007
2008-01-01,New South Wales,42900.0,2008
2009-01-01,New South Wales,43978.48,2009
2010-01-01,New South Wales,46800.0,2010
2011-01-01,New South Wales,46800.0,2011
2012-01-01,New South Wales,49244.0,2012
2013-01-01,New South Wales,49400.0,2013
2014-01-01,New South Wales,52000.0,2014
2015-01-01,New South Wales,52000.0,2015
2016-01-01,New South Wales,52000.0,2016
2017-01-01,New South Wales,54600.0,2017
2018-01-01,New South Wales,55692.0,2018
2019-01-01,New South Wales,59800.0,2019
2020-01-01,New South Wales,59800.0,2020
2021-01-01,New South Wales,64948.0,2021
2022-01-01,New South Wales,64792.0,2022
2023-01-01,New South Wales,69649.32,2023
1997-01-01,Victoria,26624.0,1997
1998-01-01,Victoria,27040.0,1998
1999-01-01,Victoria,28600.0,1999
2000-01-01,Victoria,30112.160000000003,2000
2001-01-01,Victoria,31200.0,2001
2002-01-01,Victoria,31409.04,2002
2003-01-01,Victoria,32441.24,2003
2004-01-01,Victoria,33800.0,2004
2005-01-01,Victoria,36400.0,2005
2006-01-01,Victoria,37440.0,2006
2007-01-01,Victoria,39364.0,2007
2008-01-01,Victoria,41420.6,2008
2009-01-01,Victoria,41600.0,2009
2010-01-01,Victoria,44164.119999999995,2010
2011-01-01,Victoria,45296.16,2011
2012-01-01,Victoria,46800.0,2012
2013-01-01,Victoria,46800.0,2013
2014-01-01,Victoria,49343.84,2014
2015-01-01,Victoria,49400.0,2015
2016-01-01,Victoria,52000.0,2016
2017-01-01,Victoria,52000.0,2017
2018-01-01,Victoria,55588.0,2018
2019-01-01,Victoria,55750.23999999999,2019
2020-01-01,Victoria,59800.0,2020
2021-01-01,Victoria,61469.2,2021
2022-01-01,Victoria,65000.0,2022
2023-01-01,Victoria,66560.0,2023
1997-01-01,Queensland,26000.0,1997
1998-01-01,Queensland,26138.32,1998
1999-01-01,Queensland,26676.0,1999
2000-01-01,Queensland,28600.0,2000
2001-01-01,Queensland,29380.0,2001
2002-01-01,Queensland,31200.0,2002
2003-01-01,Queensland,31200.0,2003
2004-01-01,Queensland,33540.0,2004
2005-01-01,Queensland,34892.0,2005
2006-01-01,Queensland,36400.0,2006
2007-01-01,Queensland,39000.0,2007
2008-01-01,Queensland,41600.0,2008
2009-01-01,Queensland,43806.880000000005,2009
2010-01-01,Queensland,44200.0,2010
2011-01-01,Queensland,46800.0,2011
2012-01-01,Queensland,49244.0,2012
2013-01-01,Queensland,49400.0,2013
2014-01-01,Queensland,51100.4,2014
2015-01-01,Queensland,52000.0,2015
2016-01-01,Queensland,52000.0,2016
2017-01-01,Queensland,52000.0,2017
2018-01-01,Queensland,54600.0,2018
2019-01-01,Queensland,54964.0,2019
2020-01-01,Queensland,56992.0,2020
2021-01-01,Queensland,59363.2,2021
2022-01-01,Queensland,62865.4,2022
2023-01-01,Queensland,67600.0,2023
1997-01-01,South Australia,26000.0,1997
1998-01-01,South Australia,26000.0,1998
1999-01-01,South Australia,27300.0,1999
2000-01-01,South Australia,29016.0,2000
2001-01-01,South Australia,29640.0,2001
2002-01-01,South Australia,31200.0,2002
2003-01-01,South Australia,31694.52,2003
2004-01-01,South Australia,33155.72,2004
2005-01-01,South Australia,34847.799999999996,2005
2006-01-01,South Australia,36400.0,2006
2007-01-01,South Australia,37440.0,2007
2008-01-01,South Australia,39000.0,2008
2009-01-01,South Australia,39988.0,2009
2010-01-01,South Australia,41808.0,2010
2011-01-01,South Australia,43992.0,2011
2012-01-01,South Australia,46800.0,2012
2013-01-01,South Australia,46800.0,2013
2014-01-01,South Australia,48078.16,2014
2015-01-01,South Australia,49816.0,2015
2016-01-01,South Australia,49452.0,2016
2017-01-01,South Australia,50700.0,2017
2018-01-01,South Australia,52000.0,2018
2019-01-01,South Australia,52520.0,2019
2020-01-01,South Australia,54741.96,2020
2021-01-01,South Australia,57200.0,2021
2022-01-01,South Australia,58500.0,2022
2023-01-01,South Australia,62400.0,2023
1997-01-01,Western Australia,26208.0,1997
1998-01-01,Western Australia,27300.0,1998
1999-01-01,Western Australia,28600.0,1999
2000-01-01,Western Australia,29120.0,2000
2001-01-01,Western Australia,29900.0,2001
2002-01-01,Western Australia,31980.0,2002
2003-01-01,Western Australia,32240.0,2003
2004-01-01,Western Australia,33800.0,2004
2005-01-01,Western Australia,36400.0,2005
2006-01-01,Western Australia,37440.0,2006
2007-01-01,Western Australia,41600.0,2007
2008-01-01,Western Australia,46280.0,2008
2009-01-01,Western Australia,45448.0,2009
2010-01-01,Western Australia,49894.52,2010
2011-01-01,Western Australia,52000.0,2011
2012-01-01,Western Australia,53099.799999999996,2012
2013-01-01,Western Australia,54357.67999999999,2013
2014-01-01,Western Australia,58635.2,2014
2015-01-01,Western Australia,56628.0,2015
2016-01-01,Western Australia,57200.0,2016
2017-01-01,Western Australia,57405.92,2017
2018-01-01,Western Australia,61828.0,2018
2019-01-01,Western Australia,62400.0,2019
2020-01-01,Western Australia,65000.0,2020
2021-01-01,Western Australia,65000.0,2021
2022-01-01,Western Australia,68864.12,2022
2023-01-01,Western Australia,69644.64,2023
1997-01-01,Tasmania,25480.0,1997
1998-01-01,Tasmania,25480.0,1998
1999-01-01,Tasmania,26247.0,1999
2000-01-01,Tasmania,27426.359999999997,2000
2001-01-01,Tasmania,28600.0,2001
2002-01-01,Tasmania,28600.0,2002
2003-01-01,Tasmania,31200.0,2003
2004-01-01,Tasmania,31200.0,2004
2005-01-01,Tasmania,31532.8,2005
2006-01-01,Tasmania,33800.0,2006
2007-01-01,Tasmania,35360.0,2007
2008-01-01,Tasmania,37440.0,2008
2009-01-01,Tasmania,39780.0,2009
2010-01-01,Tasmania,39988.0,2010
2011-01-01,Tasmania,41600.0,2011
2012-01-01,Tasmania,42900.0,2012
2013-01-01,Tasmania,43804.28,2013
2014-01-01,Tasmania,44903.04,2014
2015-01-01,Tasmania,45708.0,2015
2016-01-01,Tasmania,46800.0,2016
2017-01-01,Tasmania,49400.0,2017
2018-01-01,Tasmania,50696.880000000005,2018
2019-01-01,Tasmania,52000.0,2019
2020-01-01,Tasmania,52000.0,2020
2021-01-01,Tasmania,52219.96,2021
2022-01-01,Tasmania,56262.44,2022
2023-01-01,Tasmania,62898.159999999996,2023
1997-01-01,Northern Territory,31200.0,1997
1998-01-01,Northern Territory,31200.0,1998
1999-01-01,Northern Territory,31326.880000000005,1999
2000-01-01,Northern Territory,34974.68,2000
2001-01-01,Northern Territory,34684.0,2001
2002-01-01,Northern Territory,36400.0,2002
2003-01-01,Northern Territory,35955.4,2003
2004-01-01,Northern Territory,40043.64,2004
2005-01-01,Northern Territory,39000.0,2005
2006-01-01,Northern Territory,41600.0,2006
2007-01-01,Northern Territory,44200.0,2007
2008-01-01,Northern Territory,46800.0,2008
2009-01-01,Northern Territory,52000.0,2009
2010-01-01,Northern Territory,52000.0,2010
2011-01-01,Northern Territory,52000.0,2011
2012-01-01,Northern Territory,54600.0,2012
2013-01-01,Northern Territory,57200.0,2013
2014-01-01,Northern Territory,65582.40000000001,2014
2015-01-01,Northern Territory,62400.0,2015
2016-01-01,Northern Territory,65000.0,2016
2017-01-01,Northern Territory,62517.0,2017
2018-01-01,Northern Territory,65000.0,2018
2019-01-01,Northern Territory,62608.0,2019
2020-01-01,Northern Territory,62400.0,2020
2021-01-01,Northern Territory,69885.92,2021
2022-01-01,Northern Territory,72800.0,2022
2023-01-01,Northern Territory,74199.32,2023
1997-01-01,Australian Capital Territory,31200.0,1997
1998-01-01,Australian Capital Territory,31224.440000000002,1998
1999-01-01,Australian Capital Territory,33800.0,1999
2000-01-01,Australian Capital Territory,36938.200000000004,2000
2001-01-01,Australian Capital Territory,36400.0,2001
2002-01-01,Australian Capital Territory,39000.0,2002
2003-01-01,Australian Capital Territory,40524.119999999995,2003
2004-01-01,Australian Capital Territory,41600.0,2004
2005-01-01,Australian Capital Territory,42889.6,2005
2006-01-01,Australian Capital Territory,47840.0,2006
2007-01-01,Australian Capital Territory,52000.0,2007
2008-01-01,Australian Capital Territory,52000.0,2008
2009-01-01,Australian Capital Territory,54964.0,2009
2010-01-01,Australian Capital Territory,54945.280000000006,2010
2011-01-01,Australian Capital Territory,57200.0,2011
2012-01-01,Australian Capital Territory,60893.04,2012
2013-01-01,Australian Capital Territory,62952.23999999999,2013
2014-01-01,Australian Capital Territory,62400.0,2014
2015-01-01,Australian Capital Territory,65000.0,2015
2016-01-01,Australian Capital Territory,65000.0,2016
2017-01-01,Australian Capital Territory,67548.0,2017
2018-01-01,Australian Capital Territory,67600.0,2018
2019-01-01,Australian Capital Territory,67562.04,2019
2020-01-01,Australian Capital Territory,74280.96,2020
2021-01-01,Australian Capital Territory,76368.76000000001,2021
2022-01-01,Australian Capital Territory,78000.0,2022
2023-01-01,Australian Capital Territory,80600.0,2023
1997-01-01,Australia,26624.52,1997
1998-01-01,Australia,27560.0,1998
1999-01-01,Australia,28600.0,1999
2000-01-01,Australia,30253.079999999998,2000
2001-01-01,Australia,31200.0,2001
2002-01-01,Australia,31980.0,2002
2003-01-01,Australia,33020.0,2003
2004-01-01,Australia,33852.0,2004
2005-01-01,Australia,36400.0,2005
2006-01-01,Australia,37960.0,2006
2007-01-01,Australia,39988.0,2007
2008-01-01,Australia,41600.0,2008
2009-01-01,Australia,43212.0,2009
2010-01-01,Australia,45136.0,2010
2011-01-01,Australia,46800.0,2011
2012-01-01,Australia,49244.0,2012
2013-01-01,Australia,49400.0,2013
2014-01-01,Australia,52000.0,2014
2015-01-01,Australia,52000.0,2015
2016-01-01,Australia,52000.0,2016
2017-01-01,Australia,52988.0,2017
2018-01-01,Australia,55900.0,2018
2019-01-01,Australia,57200.0,2019
2020-01-01,Australia,59800.0,2020
2021-01-01,Australia,62400.0,2021
2022-01-01,Australia,64896.0,2022
2023-01-01,Australia,67600.0,2023
